Researcher,Year,Bird/Insect,order,genus,species,id,N,"mass 
(mg)","body length 
(mm)","body attitude 
(deg)","mass wing
(mg)","wing length 
(mm)","chord length
(mm)","wing area
(mm^2)","freq 
(Hz)","amp 
(deg)","AR
(-)","U tip
(m/s)","CL
(-)","Re
(-)","red. freq.
(-)",density (kg/m^3)
Cheng & Sun,2016,vegetable leafminer,diptera,Liriomyza,sativae,127406,1,0.25,,,,1.44,0.42,0.61,260.8,182.4,3.43,2.391124979,1.14807044,68.34632232,0.143914474,1.225
Cheng & Sun,2016,vegetable leafminer,diptera,Liriomyza,sativae,127406,1,0.32,,,,1.46,0.43,0.63,270.4,174.1,3.40,2.399195717,1.413321574,70.20979688,0.152250714,1.225
Cheng & Sun,2016,vegetable leafminer,diptera,Liriomyza,sativae,127406,1,0.29,,,,1.49,0.45,0.67,259.3,181.7,3.31,2.450479512,1.154473472,75.04593504,0.14959388,1.225
Cheng & Sun,2016,vegetable leafminer,diptera,Liriomyza,sativae,127406,1,0.31,,,,1.45,0.42,0.60,288.4,172.4,3.45,2.51656344,1.306644942,71.93177167,0.151212097,1.225
Cheng & Sun,2016,vegetable leafminer,diptera,Liriomyza,sativae,127406,1,0.17,,,,1.31,0.40,0.52,267.5,182,3.28,2.226249491,1.056478895,60.60345838,0.150994044,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,1.77,,40,,3.32,0.69,2.29,572,48,4.81,3.18187206,1.22487157,149.4154088,0.389683735,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,1.86,,37,,3.24,0.64,2.07,492,50,5.06,2.782194454,1.851251185,121.1800251,0.355555556,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,2.03,,38,,3.23,0.65,2.10,559,45,4.97,2.836182724,1.923812268,125.4616941,0.40247678,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,1.91,,32,,3.21,0.65,2.09,563,44,4.94,2.775706018,1.899197765,122.7864398,0.414188615,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,0.82,,39,,2.39,0.46,1.10,777,45,5.20,2.917015903,1.401445218,91.3188034,0.384937238,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,0.83,,35,,2.37,0.47,1.11,817,43,5.04,2.906338677,1.405530516,92.96247183,0.415072122,1.225
Liu et al.,2020,mosquito,diptera,Aedes,aegypti,7159,1,0.86,,37,,2.30,0.46,1.06,809,45,5.00,2.922780725,1.520995263,91.49927437,0.4,1.225
